id,name,evaluationStatus,definition,datasets,attributes,incidents,cloudUrl,createdAt,group,lastCheckResultValue,lastCheckRunTime,lastUpdated,owner,agreements,column
0c985c97-e397-47c4-9af5-472fffb1a573,$template_counter fail when > 750,fail,"checks for PRODUCTS:
  - $template_counter: # Template check
      parameters:
        table: PRODUCTS
      fail: when > 750

      template:
        name: template_counter
        description: Counts the amount of rows in a table
        author: Tim Poot
        metric: counter
        query: |-
          SELECT COUNT(*) AS counter FROM ${table}
","[{'id': 'ea200d81-5b8e-41a0-bfbd-33361377093e', 'name': 'PRODUCTS', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/ea200d81-5b8e-41a0-bfbd-33361377093e'}]",{},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/0c985c97-e397-47c4-9af5-472fffb1a573,2025-10-22T09:50:31.960193284Z,{},"{'id': '17932a5f-3dee-4cad-b5bc-154e00fbfd35', 'value': 1000.0, 'dataTimestamp': '2025-11-28T09:06:00Z'}",2025-11-28T09:06:00Z,2025-11-28T09:06:22Z,"{'firstName': 'Tim', 'lastName': 'Poot', 'fullName': 'Tim Poot', 'email': 'tim.poot@datashift.eu'}",[],
b994611b-628a-411f-9884-cff7239a8bd8,"(full_name, email) pairs must be unique",pass,"checks for customers:
  - duplicate_count(full_name, email) = 0:
      name: (full_name, email) pairs must be unique

  # ── Schema guardrail ───────────────────────────────────────────
","[{'id': 'b5426d0d-a15c-4213-bb02-a56ffbd75ae1', 'name': 'customers', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/b5426d0d-a15c-4213-bb02-a56ffbd75ae1'}]",{},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/b994611b-628a-411f-9884-cff7239a8bd8,2025-08-30T09:21:27.297302176Z,{},"{'id': 'a7614c84-70cb-4811-9a92-e1d9bdbaf665', 'value': 0.0, 'dataTimestamp': '2025-08-30T10:29:47Z'}",2025-08-30T10:29:47Z,2025-08-30T10:29:50Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],
45cb3ff5-8810-45a2-af74-29c80434172e,"(name, category) pairs must be unique",pass,"checks for products:
  - duplicate_count(name, category) = 0:
      name: (name, category) pairs must be unique

  # Note: (product_id, name, category) uniqueness is redundant if product_id is unique,
  # so we drop that triple check.

  # ── (Optional) Domain / Business rules ─────────────────────────
  # Uncomment and fill if you maintain a controlled vocabulary for categories:
","[{'id': 'daaccc48-6924-4889-8388-6c583389f880', 'name': 'products', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/daaccc48-6924-4889-8388-6c583389f880'}]",{},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/45cb3ff5-8810-45a2-af74-29c80434172e,2025-08-30T09:39:48.530425786Z,{},"{'id': 'e9b2f023-cabc-4ba5-87b3-feb00886afc7', 'value': 0.0, 'dataTimestamp': '2025-08-30T10:11:13Z'}",2025-08-30T10:11:13Z,2025-08-30T10:11:16Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],
fee7d9a8-78b2-4099-81b3-1c138438c20b,ac_max_length,fail,"checks for xref [subset]:
  - max_length(ac) = 28:
      name: ac_max_length
      attributes:
        dimension: Validity
# Numeric check 3
","[{'id': 'cc31c9e4-0a5b-41fb-83f9-a6aa1d8239f6', 'name': 'xref', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/cc31c9e4-0a5b-41fb-83f9-a6aa1d8239f6'}]",{'dimension': 'Validity'},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/fee7d9a8-78b2-4099-81b3-1c138438c20b,2024-09-24T12:39:05.557345323Z,{},{'value': 42.0},2024-10-02T13:03:21Z,2024-10-02T13:03:30Z,"{'firstName': 'Lennert', 'lastName': 'Vandorpe', 'fullName': 'Lennert Vandorpe', 'email': 'lennert.vandorpe@datashift.eu'}",[],ac
e596419d-e978-4366-b936-030d89727859,All check statuses are valid,pass,"checks for CHECK_RESULTS:
  - invalid_count(CHECK_STATUS) = 0:
      name: ""All check statuses are valid""
      valid values: ['pass', 'fail', 'warn', 'error']
      samples limit: 1000
      attributes:
        dimension: Validity

","[{'id': 'c47d3ffa-c670-482d-b159-c60ac77d9ea2', 'name': 'CHECK_RESULTS', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/c47d3ffa-c670-482d-b159-c60ac77d9ea2'}]",{'dimension': 'Validity'},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/e596419d-e978-4366-b936-030d89727859,2025-09-25T12:29:44.412210618Z,{},"{'id': '1f0dc22c-5917-4bea-b8dd-4e0e9bbeed5b', 'value': 0.0, 'dataTimestamp': '2026-01-15T21:53:29Z'}",2026-01-15T21:53:29Z,2026-01-15T21:53:39Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],CHECK_STATUS
d4f1c283-6dd2-4a5e-a3d2-cab335e9b8d1,All check types are valid,pass,"checks for CHECK_RESULTS:
  - invalid_count(CHECK_TYPE) = 0:
      name: ""All check types are valid""
      valid values: ['row_count', 'missing_count', 'duplicate_count', 'invalid_count',
        'freshness', 'schema']
      samples limit: 1000
      attributes:
        dimension: Validity

  # Freshness and row_count checks omitted to avoid failures on empty table during initial runs
","[{'id': 'c47d3ffa-c670-482d-b159-c60ac77d9ea2', 'name': 'CHECK_RESULTS', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/c47d3ffa-c670-482d-b159-c60ac77d9ea2'}]",{'dimension': 'Validity'},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/d4f1c283-6dd2-4a5e-a3d2-cab335e9b8d1,2025-09-25T12:29:44.429446194Z,{},"{'id': '7f109b52-4706-4dfd-bfe2-7f9738abf6d1', 'value': 0.0, 'dataTimestamp': '2026-01-15T21:53:29Z'}",2026-01-15T21:53:29Z,2026-01-15T21:53:39Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],CHECK_TYPE
d170be5a-df8e-4de0-8ef9-d8cca7d80ccb,All customers have high data quality score,fail,"checks for DIM_CUSTOMERS:
  - min(DATA_QUALITY_SCORE) > 80:
      name: ""All customers have high data quality score""
      samples limit: 2000
      attributes:
        dimension: Accuracy

","[{'id': '65637e43-5064-4bd3-a981-7c843dff1fa2', 'name': 'DIM_CUSTOMERS', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/65637e43-5064-4bd3-a981-7c843dff1fa2'}]",{'dimension': 'Accuracy'},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/d170be5a-df8e-4de0-8ef9-d8cca7d80ccb,2025-10-02T09:21:27.504979391Z,{},"{'id': 'f64e2ee0-ec29-4423-bf7c-ffbc705e82a6', 'value': 50.0, 'dataTimestamp': '2026-01-15T21:52:47Z'}",2026-01-15T21:52:47Z,2026-01-15T21:53:24Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],DATA_QUALITY_SCORE
203c3dd3-2918-49c1-8cc8-e34fabf57e4e,All emails are valid in mart,pass,"checks for DIM_CUSTOMERS:
  - invalid_count(EMAIL) = 0:
      name: ""All emails are valid in mart""
      valid regex: '^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$'
      samples limit: 2000
      attributes:
        dimension: Validity

","[{'id': '65637e43-5064-4bd3-a981-7c843dff1fa2', 'name': 'DIM_CUSTOMERS', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/65637e43-5064-4bd3-a981-7c843dff1fa2'}]",{'dimension': 'Validity'},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/203c3dd3-2918-49c1-8cc8-e34fabf57e4e,2025-10-02T08:46:10.708415732Z,{},"{'id': 'a5f076da-2a31-486b-a6a9-5e61226a2b20', 'value': 0.0, 'dataTimestamp': '2026-01-15T21:52:47Z'}",2026-01-15T21:52:47Z,2026-01-15T21:53:24Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],EMAIL
cbb8b118-37e7-464c-a196-9714902b62d5,All order amounts are positive in mart,pass,"checks for FACT_ORDERS:
  - min(ORDER_TOTAL_AMOUNT) > 0:
      name: ""All order amounts are positive in mart""
      samples limit: 3000
      attributes:
        dimension: Accuracy

","[{'id': '798f375a-bb28-4a46-8f32-e0cb76eff9ae', 'name': 'FACT_ORDERS', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/798f375a-bb28-4a46-8f32-e0cb76eff9ae'}]",{'dimension': 'Accuracy'},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/cbb8b118-37e7-464c-a196-9714902b62d5,2025-09-25T12:29:41.09790437Z,{},"{'id': '9b32e8ef-6c96-4b97-b072-39510fdded17', 'value': 25.0, 'dataTimestamp': '2026-01-15T21:52:47Z'}",2026-01-15T21:52:47Z,2026-01-15T21:53:24Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],ORDER_TOTAL_AMOUNT
95b0076e-f54b-402d-b212-26ac54e5b821,All order amounts are positive in staging,pass,"checks for STG_ORDERS:
  - min(TOTAL_AMOUNT) > 0:
      name: ""All order amounts are positive in staging""
      samples limit: 3000
      attributes:
        dimension: Accuracy

","[{'id': 'b8f60e6f-cfac-4452-a630-1689ca7d7ddf', 'name': 'STG_ORDERS', 'cloudUrl': 'https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/datasets/b8f60e6f-cfac-4452-a630-1689ca7d7ddf'}]",{'dimension': 'Accuracy'},[],https://cloud.soda.io/o/fa72f92c-ca83-4fc5-b588-40ad0292324e/checks/95b0076e-f54b-402d-b212-26ac54e5b821,2025-10-02T08:45:10.184639216Z,{},"{'id': '6ce39567-ca44-4a0b-9c67-ac7484b6436c', 'value': 25.0, 'dataTimestamp': '2026-01-15T21:51:46Z'}",2026-01-15T21:51:46Z,2026-01-15T21:52:32Z,"{'firstName': 'Arnaud', 'lastName': 'Gueulette', 'fullName': 'Arnaud Gueulette', 'email': 'arnaud.gueulette@datashift.eu'}",[],TOTAL_AMOUNT
